genre,freqDiff_1,freqDiff_2,freqDiff_3,freqDiff_4,freqDiff_5,freqDiff_6,freqDiff_7,freqDiff_8,freqDiff_9,freqDiff_10,freqDiff_11,freqDiff_12,freqDiff_13,freqDiff_14,freqDiff_15,freqDiff_16,freqDiff_17,freqDiff_18,freqDiff_19,freqDiff_20,freqDiff_21,freqDiff_22,freqDiff_23,freqDiff_24,freqDiff_25,freqDiff_26,freqDiff_27,freqDiff_28,freqDiff_29,freqDiff_30,pitch_1,pitch_2,pitch_3,pitch_4,pitch_5,pitch_6,pitch_7,pitch_8,pitch_9,pitch_10,pitch_11,pitch_12,pitch_13,pitch_14,pitch_15,pitch_16,pitch_17,pitch_18,pitch_19,pitch_20,pitch_21,pitch_22,pitch_23,pitch_24,pitch_25,pitch_26,pitch_27,pitch_28,pitch_29,pitch_30,bpm
blues,28.85841305,27.52088416,24.26259973,18.34066914,17.81400518,27.74513788,26.65605724,41.67824613,45.15243778,33.67373946,21.90535418,25.48894209,15.24332694,21.03209379,23.10618329,25.45221962,27.44788878,24.03076784,19.2897718,20.84085098,14.31460582,24.50098672,15.3157878,20.44265061,21.11056297,22.81471076,15.53455859,19.84311886,28.42186926,21.90780199,49.51732551,58.34859797,60.04728716,62.21590393,57.83120284,58.64712737,42.27086804,55.01657761,59.08445704,59.89414685,54.56774547,46.65101439,61.5890392,53.5723287,59.46564634,54.52518307,55.22150847,58.25095421,49.02821528,48.55846554,58.03875502,60.84143998,55.44076281,61.40149015,59.94297702,58.20225341,57.86350933,59.99581266,67.22032489,52.06358559,64.32632996
blues,7.448324198,36.76187373,17.22161782,31.63151407,17.91328314,41.03136235,14.72634464,32.02871701,18.73923416,11.98579757,30.46401601,22.93491767,15.80750347,28.26513278,31.94797261,33.69921503,14.47925556,24.31423957,16.75789488,24.47366946,23.67730852,22.16751421,26.94235564,38.37397103,27.36134713,33.16663097,19.08186974,20.24818685,15.46930116,28.09839576,35.97331725,40.40633286,58.86689457,53.03108677,48.34169893,45.43150205,56.29893245,52.43241962,51.13304067,49.84946486,48.41603044,66.98488369,54.4437624,67.15667476,53.2545276,46.58944381,53.89576393,48.90228839,44.51707955,47.74885337,54.78662562,48.46242151,43.95381045,60.42693719,58.26117272,39.31784714,44.15660503,47.05536598,39.91244081,55.0928932,50.97871058
blues,21.95487412,21.81013209,31.01007131,13.39684367,22.35368759,17.06161288,14.93820683,19.88123132,18.24801942,16.42306821,19.80047793,22.36775128,16.23349087,19.969155,15.92206096,15.62971264,27.77805122,14.51630011,29.06711556,20.91826562,22.2090412,26.94423887,13.10689359,27.5391243,18.81455245,18.00759216,35.96601599,36.83086424,22.88517631,21.19814845,52.65910504,63.98541127,61.81297666,48.42283258,52.17083527,55.3398339,42.86376141,54.32792353,58.59965009,48.18463729,53.88116346,52.82496758,51.80428341,56.54177759,57.14720948,55.7302866,51.08726874,61.41096443,56.09122928,56.81882273,71.99758113,54.71241192,59.97589422,56.57056418,53.96768987,60.3026524,70.76128645,51.96769901,51.95707339,65.14526048,81.0590242
blues,17.2216535,9.679313889,18.12787891,22.2480407,27.29212301,15.04596118,19.97138706,21.91480735,17.72678168,14.27734764,19.32435644,17.9128437,29.59814675,27.96223179,13.76375171,21.03881464,34.693678,16.81563633,22.03009265,17.94927726,36.66059884,25.14428459,14.95889491,22.08689413,30.90688879,21.35773392,11.17095875,17.63154367,35.76160676,16.31792319,40.7636737,43.29238634,48.29246317,40.94463925,39.3830452,50.63998298,51.51740052,41.41913968,40.06281263,42.08621145,39.31812295,40.10710295,43.15040792,55.45853335,41.68823987,39.36166338,42.24851129,49.6044056,40.83166522,39.18098033,49.4958882,44.45706257,42.91296573,38.90371748,48.2464966,44.28664416,38.95854063,39.2645843,49.69554937,47.40167786,63.29534479
blues,18.51098866,27.58182781,36.50636628,29.6793483,31.8306006,32.4356847,43.82752423,27.97078557,44.34027402,32.94844328,27.18801453,17.37167719,13.76159643,28.50412466,34.34884129,24.74050162,20.25588012,22.77524258,12.43542265,13.72364348,11.91791948,30.94297974,27.32288287,14.09550622,22.13050319,13.8809452,21.67513537,17.73617518,22.8434034,13.91226802,64.89024639,66.55903244,68.33919676,79.4316251,82.14941105,68.42434196,60.23517901,69.55491026,66.56769624,70.21329844,74.0209214,68.81919302,69.65446286,77.20142888,74.60894208,70.82732131,66.63990251,57.40670661,62.35837253,60.67696345,63.51479473,73.72690556,64.05590516,66.20509312,66.71774744,69.39006025,66.2349763,67.77180605,67.49946284,71.09852263,69.63889135
blues,29.57601978,13.8969615,33.36153073,20.37393924,13.52086566,46.39913368,34.0158925,29.67152661,47.96072551,19.42284219,24.15898618,30.95008372,46.90901081,34.19460514,30.08261908,14.40466535,23.57673763,24.30650542,18.51998364,7.450497815,36.09160821,29.15946768,36.99957929,23.03076474,30.59320006,28.26839134,9.588518171,42.81845909,27.20882546,15.2180553,44.30234939,63.47314302,58.10497736,59.10007166,63.25674483,62.71741282,70.47005383,93.97865446,65.94377757,60.75625557,62.14305949,78.90229957,86.61465019,59.71780511,46.28389811,60.33823932,60.94346938,59.84425718,60.89107327,61.89198951,56.24979356,70.85040345,72.68583351,63.40706856,58.53046462,70.66792972,68.71681657,62.05378936,61.49883492,62.21740244,56.70640206
blues,41.84343714,43.2596959,47.72021236,48.72585616,16.74934338,37.59774315,26.98764906,38.69801939,32.10932561,32.51006908,29.69947487,26.52109611,45.61935647,34.58617512,54.19566397,44.96819911,48.65065699,21.69984992,29.03286082,16.71129492,36.98272805,23.45252866,18.78278812,16.02307503,26.25251445,33.52601152,37.23715467,40.81186568,33.85274647,38.91764292,58.08540778,64.56576733,64.92048574,60.63980076,56.96004433,56.80104349,53.42495745,56.51195704,62.08566683,58.9014724,56.99336358,57.29337719,61.89161726,69.8493553,58.74219061,71.64880276,66.00424239,56.83337287,74.36279119,60.93882077,57.72548019,58.16860802,65.38010504,67.54479377,72.01012225,66.61781763,74.18609566,62.37613962,60.42678638,85.94382778,74.09678092
blues,26.26337607,21.31642446,15.74311833,18.00950666,33.51304427,11.33336354,11.24861056,13.52889404,36.47838233,28.6251571,28.88206857,37.94694054,35.14250725,33.46705694,48.05115394,24.27102015,20.02335307,16.52818406,21.49708394,13.36150119,6.904843182,12.55748128,12.53047208,49.4176568,23.85916047,51.94328993,21.19808911,23.67293506,27.39186394,18.15348207,55.65352622,53.7436102,53.92568837,51.5821621,56.05958087,56.72728436,58.09856521,58.00028442,59.33851757,74.29179489,61.80051502,51.17027416,57.1506093,68.42939537,68.56577345,54.24489195,58.78693594,58.67209057,59.14141526,59.06299635,59.07000688,58.98298476,59.29548166,75.84327556,71.09025698,61.01086994,58.67370242,57.02162783,58.19533157,57.91087279,93.23465689
blues,10.03909199,24.37954293,20.87606991,16.8440149,25.76236383,23.31387908,7.199411941,20.20833959,12.34077244,20.85467552,16.2818192,32.28026482,29.19599999,20.84768336,13.79449293,15.78584978,18.52238161,28.15504625,17.87827631,15.92463226,12.79655045,22.16612822,11.01082453,14.90692277,17.94820871,13.63940599,24.34128293,16.81824249,10.86147737,16.30907186,52.61410696,51.20779517,55.04171221,45.93102247,52.17901638,52.97673922,46.11538971,45.83491498,46.0914107,48.16625107,52.72486248,57.02500827,52.89386678,42.86508489,55.34922116,43.72384904,48.81584957,52.84470137,46.24939346,43.16776431,48.89462786,47.17264087,44.11161707,44.22704253,43.38199917,40.29304602,50.52538965,54.11413228,40.32501372,49.85487632,87.06814841
blues,41.03220243,27.96477958,44.39747046,29.44906218,38.8276212,41.98052557,38.17813574,14.78041348,51.19561482,40.46996397,18.81928914,21.38445517,54.43506192,24.95796339,61.64140718,52.3240911,15.88433686,42.25319389,29.87616096,28.9358838,34.52554209,16.09280124,35.00117453,32.84222612,9.968325862,45.43856289,16.59051931,51.00428644,61.97560222,34.69661877,63.04105386,61.67447174,69.24962093,48.22570348,63.81982954,66.86418276,55.24957488,64.16180056,66.24908447,58.36043744,66.42012113,65.31279364,65.24626914,76.12648809,71.61775261,54.20849072,66.0626765,64.11083035,80.64468002,64.10053466,65.14004907,53.90253555,53.82517597,56.96868799,62.49805104,61.08168722,59.86069063,76.65210387,67.5153522,63.34147032,62.28523004
